seg_sites_A	seg_sites_B	seg_sites_C	pi_A	pi_B	pi_C	Fst_AB	Fst_AC	Fst_BC	PBS_A	PBS_B	PBS_C	PBSN1_A	PBSN1_B	PBSN1_C
0.00852	0.01294	0.01331	0.0005576643442244206	9.852419189907512e-05	0.00013111803004438568	0.43805824386425435	0.5801432612313814	0.8397866281529044	-0.19352499141696622	0.7698820626452092	1.0613667154788577	-0.07336817918246105	0.29187364747023786	0.4023797794248403
0.00447	0.00477	0.00517	0.00038042558248897897	7.46909564658026e-05	0.00010927365655636077	0.4360202217589724	0.4057617058201658	0.687987720318	-0.03575049013469933	0.6084873724441291	0.5562253615479016	-0.01679244910887912	0.28581407406345055	0.26126595863913127
0.00882	0.0123	0.01167	0.0004023796062826032	6.596418117933436e-05	9.211653342246161e-05	0.40981831456295303	0.3431248186729292	0.39943737465168855	0.21884887757366217	0.30847597049421327	0.20141238373228004	0.12659464581888605	0.1784400571815032	0.11650838544302469
0.01067	0.01484	0.01427	0.0008917241145803022	0.0001535697961799491	0.00019365578347464978	0.4037878877130393	0.4095567376345027	0.8248376956936224	-0.3490008837746834	0.8661596659074704	0.8758826157908144	-0.1458398856273465	0.36194930294938543	0.36601231242836074
0.00959	0.01321	0.0139	0.0008083911979776912	0.00043154609280591187	0.000750529698673051	0.4045615492218919	0.14125497641953325	0.35509822129811036	0.11604161414953801	0.4024156385945729	0.03624161627007466	0.07463928639963473	0.25883831693383774	0.023311019897412674
0.00995	0.0151	0.01571	0.0007237199399617795	0.00014108859492568756	0.0005587864307578232	0.3134137485449431	0.24730265164246348	0.40467649249396936	0.07073258547287187	0.3052908367830752	0.21335947431604085	0.044503175179139834	0.19208136531576656	0.13424044940726287
0.00978	0.01423	0.01366	0.0007499534966432512	0.00015939951679031745	0.0003656197156550519	0.44575947220317597	0.2793991511158124	0.6875961848720904	-0.12281611268497217	0.7129726334442426	0.45048601532968097	-0.060185020410462836	0.3493863431910567	0.22075694658069417
0.0101	0.01407	0.01417	0.000598568513031492	9.793670394624223e-05	0.00024369033886056544	0.4717985378116975	0.31991523201040567	0.7154768840744808	-0.11656271850581201	0.7548402293813	0.5021005482788334	-0.05445893916136795	0.3526667759244097	0.2345849819060549
0.00777	0.0115	0.012	0.0006424598671292467	0.00013155694435334662	8.633354180167503e-05	0.32669169898527695	0.35651114205074885	0.2651121772000903	0.26418255402937135	0.13136940062750335	0.17666801283066505	0.16803154742497256	0.08355662906217637	0.11236850853191137
0.00867	0.0115	0.01127	0.0007256921622997502	0.0006557730384661866	0.0002580833799099638	0.17264315263486407	0.5861052207761771	0.6233713451148148	0.047583548735393943	0.14193563208141563	0.8345599451888522	0.023508739418352582	0.07012355903373839	0.4123158697040571
