SiteFst_AB	SiteFst_AC	SiteFst_BC	SitePBS_A	SitePBS_B	SitePBS_C	SitePBSN1_A	SitePBSN1_B	SitePBSN1_C	Tstar_AB	Tstar_AC	Tstar_BC	Tmax_AB	Tmax_AC	Tmax_BC
0.9371456314046434	0.9591836734693877	0.9591836734693877	2.8222461893153175	2.97957574138186	2.9828039778164035	0.7344119138597848	0.7512332332575035	0.7489206083026321	-0.0	-0.013329828029757348	0.020619287202735703	2.7669348380821273	3.19867311755068	3.19867311755068
0.9387755102040816	0.9387755102040816	0.9387755102040816	2.6346254653967573	2.793208009442516	2.793208009442516	0.7248684879582663	0.7363709035964603	0.7363709035964603	-0.0	-0.0	-0.0	2.793208009442516	2.793208009442516	2.793208009442516
0.9583680266444629	0.9791666666666667	0.9183673469387755	3.5250439137798653	2.505525936990736	2.505525936990736	0.7790076695267519	0.7147361000961715	0.7147361000961715	-0.0	-0.0	-0.0	3.1788868166518354	3.8712010109078947	2.505525936990736
0.9151133590351219	0.915924739366692	0.9591836734693877	1.945910149055313	2.47653990194145	2.6346254653967573	0.6605463339332744	0.7165214973219394	0.7248684879582663	-0.0	-0.02020270731751947	-0.0	2.46643854828269	2.476042921350999	3.19867311755068
0.9791666666666667	0.9791666666666667	0.9387755102040816	3.8712010109078947	2.696371114686763	2.793208009442516	0.7947118179355075	0.721332132782691	0.7363709035964603	-0.0	0.041672696400568074	-0.0	3.8712010109078947	3.8712010109078947	2.793208009442516
0.9791666666666667	0.9791666666666667	0.9371456314046434	3.8712010109078947	3.308758280893643	2.505525936990736	0.7947118179355075	0.7642572699771479	0.7147361000961715	-0.0	0.020619287202735703	-0.0	3.8712010109078947	3.8712010109078947	2.7669348380821273
0.9791666666666667	0.9791666666666667	0.9791666666666667	2.6346254653967573	3.8712010109078947	3.8712010109078947	0.7248684879582663	0.7947118179355075	0.7947118179355075	-0.0	-0.0	-0.0	3.8712010109078947	3.8712010109078947	3.8712010109078947
0.9583680266444629	0.9791666666666667	0.9387755102040816	3.5250439137798653	2.8271491792087553	2.793208009442516	0.7790076695267519	0.7385870573780838	0.7363709035964603	-0.0	0.0006313795853225845	-0.0	3.1788868166518354	3.8712010109078947	2.793208009442516
0.9387755102040816	0.9583680266444629	0.9387755102040816	2.97957574138186	2.793208009442516	2.6346254653967573	0.7512332332575035	0.7363709035964603	0.7248684879582663	-0.0	-0.0	-0.013329828029757348	2.793208009442516	3.1788868166518354	2.793208009442516
0.9583680266444629	0.9791666666666667	0.9791666666666667	2.505525936990736	3.188988170310595	3.8712010109078947	0.7147361000961715	0.7649681660569282	0.7947118179355075	-0.0	-0.02020270731751947	-0.0	3.1788868166518354	3.8712010109078947	3.8712010109078947
0.9791666666666667	0.9791666666666667	0.9183673469387755	2.793208009442516	3.1527856179291622	2.505525936990736	0.7363709035964603	0.7516550127958477	0.7147361000961715	-0.0	0.041672696400568074	-0.0	3.8712010109078947	3.8712010109078947	2.505525936990736
0.9371456314046434	0.9371456314046434	0.9387755102040816	2.777036191740887	2.777036191740887	2.6346254653967573	0.7391959753486735	0.7391959753486735	0.7248684879582663	-0.0	-0.02020270731751947	-0.02020270731751947	2.7669348380821273	2.7669348380821273	2.793208009442516
0.9591836734693877	0.9591836734693877	0.9591836734693877	2.6233516071972875	3.19867311755068	2.7368033396071083	0.7266858117964683	0.7618295180398909	0.7309345685096841	0.007448824012990625	-0.0	-0.013329828029757348	3.19867311755068	3.19867311755068	3.19867311755068
0.9791666666666667	0.9371456314046434	0.9591836734693877	1.8620557268422586	3.5250439137798653	2.9828039778164035	0.6506007934711626	0.7790076695267519	0.7489206083026321	-0.0	-0.0	-0.0	3.8712010109078947	2.7669348380821273	3.19867311755068
0.9791666666666667	0.9583680266444629	0.8930872083581443	3.5250439137798653	2.5041652652315975	1.945910149055313	0.7790076695267519	0.7104449159884504	0.6605463339332744	-0.0	0.020619287202735703	-0.0	3.8712010109078947	3.1788868166518354	2.2357418082234144
0.9791666666666667	0.9591836734693877	0.8571428571428571	3.19867311755068	2.843245488773072	1.7801565227535197	0.7618295180398909	0.7154860591756101	0.6355940794780441	0.020619287202735703	0.13062018241706422	-0.0	3.8712010109078947	3.19867311755068	1.945910149055313
0.9791666666666667	0.9791666666666667	0.9791666666666667	3.8712010109078947	3.8712010109078947	2.793208009442516	0.7947118179355075	0.7947118179355075	0.7363709035964603	-0.0	-0.0	-0.0	3.8712010109078947	3.8712010109078947	3.8712010109078947
0.9791666666666667	0.9387755102040816	0.9791666666666667	2.8222461893153175	3.8712010109078947	2.793208009442516	0.7344119138597848	0.7947118179355075	0.7363709035964603	-0.0	-0.0	0.020619287202735703	3.8712010109078947	2.793208009442516	3.8712010109078947
0.9591836734693877	0.9791666666666667	0.8979591836734694	3.541601978244166	2.0763008572803807	2.2823823856765264	0.7821089061699781	0.6704405539739613	0.6953432347298282	-0.0	0.020619287202735703	-0.013329828029757348	3.19867311755068	3.8712010109078947	2.2823823856765264
0.9387755102040816	0.9591836734693877	0.9591836734693877	2.793208009442516	2.1000608288825715	3.19867311755068	0.7363709035964603	0.6774256844629549	0.7618295180398909	-0.0	-0.0	-0.0	2.793208009442516	3.19867311755068	3.19867311755068
0.9791666666666667	0.9791666666666667	0.9791666666666667	3.8712010109078947	3.8712010109078947	2.793208009442516	0.7947118179355075	0.7947118179355075	0.7363709035964603	-0.0	-0.0	-0.0	3.8712010109078947	3.8712010109078947	3.8712010109078947
